Name,Team,Position,Height(cm),Weight(Pounds),Age
Adam_Donachie,BAL,Catcher,74,111,22.99
Paul_Bako,BAL,Catcher,74,115,34.69
Ramon_Hernandez,BAL,Catcher,72,320,30.78
Kevin_Millar,BAL,First_Baseman,72,96,35.43
Chris_Gomez,BAL,First_Baseman,73,205,35.71
Brian_Roberts,BAL,Second_Baseman,69,97,29.39
Miguel_Tejada,BAL,Shortstop,69,211,30.77
Melvin_Mora,BAL,Third_Baseman,71,312,35.07
Aubrey_Huff,BAL,Third_Baseman,76,321,30.19
Adam_Stern,BAL,Outfielder,71,108,27.05
Jeff_Fiorentino,BAL,Outfielder,73,100,23.88
Freddie_Bynum,BAL,Outfielder,73,155,26.96
Nick_Markakis,BAL,Outfielder,74,117,23.29
Brandon_Fahey,BAL,Outfielder,74,303,26.11
Corey_Patterson,BAL,Outfielder,69,158,27.55
Jay_Payton,BAL,Outfielder,70,141,34.27
Jay_Gibbons,BAL,Designated_Hitter,72,106,30
Erik_Bedard,BAL,Starting_Pitcher,73,212,27.99
Hayden_Penn,BAL,Starting_Pitcher,75,109,22.38
Adam_Loewen,BAL,Starting_Pitcher,78,87,22.89
Daniel_Cabrera,BAL,Starting_Pitcher,79,219,25.76
Steve_Trachsel,BAL,Starting_Pitcher,76,55,36.33
Jaret_Wright,BAL,Starting_Pitcher,74,99,31.17
Kris_Benson,BAL,Starting_Pitcher,76,132,32.31
Scott_Williamson,BAL,Relief_Pitcher,72,405,31.03
John_Parrish,BAL,Relief_Pitcher,71,401,29.26
Danys_Baez,BAL,Relief_Pitcher,75,225,29.47
Chad_Bradford,BAL,Relief_Pitcher,77,103,32.46
Jamie_Walker,BAL,Relief_Pitcher,74,195,35.67
Brian_Burres,BAL,Relief_Pitcher,73,60,25.89
Kurt_Birkins,BAL,Relief_Pitcher,74,1211,26.55
James_Hoey,BAL,Relief_Pitcher,78,166,24.17
Sendy_Rleal,BAL,Relief_Pitcher,73,79,26.69
Chris_Ray,BAL,Relief_Pitcher,75,203,25.13
Jeremy_Guthrie,BAL,Relief_Pitcher,73,133,27.9
A.J._Pierzynski,CWS,Catcher,75,208,30.17
Toby_Hall,CWS,Catcher,75,140,31.36
Paul_Konerko,CWS,First_Baseman,74,250,30.99
Tadahito_Iguchi,CWS,Second_Baseman,69,165,32.24
Juan_Uribe,CWS,Shortstop,71,220,27.61
Alex_Cintron,CWS,Shortstop,74,209,28.2
Joe_Crede,CWS,Third_Baseman,73,200,28.85
Josh_Fields,CWS,Third_Baseman,73,45,24.21
Ryan_Sweeney,CWS,Outfielder,76,190,22.02
Brian_N._Anderson,CWS,Outfielder,74,235,24.97
Luis_Terrero,CWS,Outfielder,74,188,26.78
Pablo_Ozun,CWS,Outfielder,70,126,32.51
Scott_Podsednik,CWS,Outfielder,72,224,30.95
Jermaine_Dye,CWS,Outfielder,77,1120,33.09
Darin_Erstad,CWS,Outfielder,74,149,32.74
Rob_Mackowiak,CWS,Outfielder,70,59,30.69
Jim_Thome,CWS,Designated_Hitter,76,114,36.51
Jerry_Owens,CWS,Designated_Hitter,75,285,26.03
Charlie_Haeger,CWS,Starting_Pitcher,73,102,23.45
Heath_Phillips,CWS,Starting_Pitcher,75,244,24.94
Gavin_Floyd,CWS,Starting_Pitcher,76,112,24.09
Jose_Contreras,CWS,Starting_Pitcher,76,124,35.23
Jon_Garland,CWS,Starting_Pitcher,78,110,27.43
Javier_Vazquez,CWS,Starting_Pitcher,74,1050,30.6
Mark_Buehrle,CWS,Starting_Pitcher,74,120,27.94
Mike_MacDougal,CWS,Relief_Pitcher,76,265,29.99
David_Aardsma,CWS,Relief_Pitcher,77,233,25.17
Andrew_Sisco,CWS,Relief_Pitcher,81,116,24.13
Matt_Thornton,CWS,Relief_Pitcher,78,277,30.46
